Title-Abstr-Key(Concurrency )  OR Title-Abstr-Key(Concurrent computing)  OR Title-Abstr-Key(Critical section)  OR Title-Abstr-Key(Light-weight process) ,622,['Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Materials, system designs and modelling approaches in techno-economic assessment of all-vanadium redox flow batteries – A review', 'Saliva sampling in dogs: How to select the most appropriate procedure for your study', '8: Main industrial processes using metal oxides as catalysts or support and future trends in heterogeneous catalysis', 'Modular deployment using TRM and function analysis', 'Dissertation titles US, UK, AND CANADIAN dissertations', 'Engineering periodicals: Diversity and complexity', 'Controlling meiotic resumption in bovine oocytes: A review', 'Chronoastrobiology: proposal, nine conferences, heliogeomagnetics, transyears, near-weeks, near-decades, phylogenetic and ontogenetic memories', 'SECTION II: THE INDICATIONS FOR BLOOD TRANSFUSION', 'A Computer-Aided Tool for the Simulation and Optimization of the Combined HDS–FCC Processes', 'Abstracts', 'Process Fault Detection and Diagnosis: Past, Present and Future', 'Current titles in soil science', 'Static Mixers in the Process Industries—A Review', 'Guide for Authors', 'Chapter 5: Catalysts', 'Implementation and management effectiveness in adoption of GIS technology in local governments', '25: Niobium and Tantalum', '“when tillage begins, other arts follow …” — A core list of agriculture serials', '3 Coacervation-phase separation technology', 'Chapter 4: Reduction', '97/03655 An improved model for the oxidation processes of light crude oil', 'Design and construction of a wide tunnel under shallow cover — The Lafayette Bluff tunnel south portal', 'Chapter 7: Nanomaterials and Nanotechnology'],['Computer Methods and Programs in Biomedicine', 'Journal of Power Sources', 'Journal of Veterinary Behavior: Clinical Applications and Research', 'Metal Oxides in Heterogeneous Catalysis', 'Technological Forecasting and Social Change', 'Polymer Contents', 'Serials Review', 'Theriogenology', 'Biomedicine & Pharmacotherapy', 'Blood Transfusion', 'Chemical Engineering Research and Design', 'Journal of Cranio-Maxillofacial Surgery', 'IFAC Proceedings Volumes', 'Geoderma', 'Chemical Engineering Research and Design', 'Journal of Pharmaceutical and Biomedical Analysis', 'Purification of Laboratory Chemicals (Eighth Edition)', 'Computers, Environment and Urban Systems', 'Comprehensive Organometallic Chemistry', 'Serials Review', 'Advances in Pharmaceutical Sciences', 'Organic Synthesis (Third Edition)', 'Fuel and Energy Abstracts', 'International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts', 'Purification of Laboratory Chemicals (Eighth Edition)'],"Title-Abstr-Key(Concurrency )  OR Title-Abstr-Key(Concurrent computing)  OR Title-Abstr-Key(Critical section)  OR Title-Abstr-Key(Light-weight process)  AND Title(""Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review"")",1,['Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review'],['Computer Methods and Programs in Biomedicine'],False,02:39:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Business process)  OR Title-Abstr-Key(Natural language) ,377,['A systematic review of game technologies for pediatric patients', 'Effect of hyaluronic acid on the regulation of inflammatory mediators in osteoarthritis of the temporomandibular joint: a systematic review', 'Consumer and product-specific characteristics influencing the effect of nutrition, health and risk reduction claims on preferences and purchase behavior – A systematic review', 'Rotator cuff tears in young patients: a different disease than rotator cuff tears in elderly patients', 'On the information processing paradigm in the study of human language', 'Expert systems and evolutionary computing for financial investing: A review', 'Changing strategies in natural products chemistry', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Process Fault Detection and Diagnosis: Past, Present and Future', 'HIRMA: Hypertextual information retrieval system managed by ARIOSTO', 'Canada', 'Engineering periodicals: Diversity and complexity', 'The role of GIS-based spatial analysis in strategic management in local government', 'Québec periodicals: An annotated bibliography of a distinctive North American minority literature', 'US government (depository items)', 'An annotated bibliography of journals in nutrition', 'Massachusetts: An overview of bay state periodicals', 'A systematic review of evaluation of variability management approaches in software product lines', 'Engineering periodicals: Diversity and complexity, part 2', 'Stories in context: Characteristics of useful case studies for planning and evaluation', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'Serials in strategic planning and reorganization', 'Chapter 2: motion graphics in film and television: an overview', 'Fire science research: A review of selected journals', 'Indexing biomedical documents: From thesaural to knowledge-based retrieval systems'],['Computers in Biology and Medicine', 'International Journal of Oral and Maxillofacial Surgery', 'Appetite', 'Journal of Shoulder and Elbow Surgery', 'Journal of Pragmatics', 'Expert Systems with Applications', 'Phytochemistry', 'Computer Methods and Programs in Biomedicine', 'IFAC Proceedings Volumes', 'Data & Knowledge Engineering', 'Journal of Government Information', 'Serials Review', 'Computers, Environment and Urban Systems', 'Serials Review', 'Journal of Government Information', 'Serials Review', 'Serials Review', 'Information and Software Technology', 'Serials Review', 'Evaluation and Program Planning', 'IFAC-PapersOnLine', 'Serials Review', 'Motion Graphic Design (Second Edition)', 'Serials Review', 'Artificial Intelligence in Medicine'],"Title-Abstr-Key(Business process)  OR Title-Abstr-Key(Natural language)  AND Title(""A systematic review of game technologies for pediatric patients"")",1,['A systematic review of game technologies for pediatric patients'],['Computers in Biology and Medicine'],False,02:40:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Airborne Ranger)  OR Title-Abstr-Key(Google Lunar XPRIZE)  OR Title-Abstr-Key(Sensor)  OR Title-Abstr-Key(Spatial analysis) ,445,"['Human metapneumovirus in patients hospitalized with acute respiratory infections: A meta-analysis', 'Toward a spatial perspective on niche development: The case of Bus Rapid Transit', 'The role of GIS-based spatial analysis in strategic management in local government', 'Consistency of spatial database query results', 'Modeling and Rendering of Real-time Large-scale Granular Flow Scene on GPU', '6: A SURVEY OF HABI PUBLICATIONS', 'Guide for Authors', 'Québec periodicals: An annotated bibliography of a distinctive North American minority literature', 'Calculating derivatives in statistical tolerance analysis', 'Current titles in soil science', 'Impossible things in stereochemistry', 'Effects of posture and respiration on body surface electrocardiogram', 'Current titles in marine geology', 'Current titles in marine geology', 'Land information systems (electronic pages) as a part of IVHS', 'Current titles in soil science', 'Abstracts', 'Current titles in marine geology, part II', 'Synthesis of a chiral 2,6-bridged morpholine system: trans-6,7-diol derivatives of 8-oxa-3-azabicyclo[3.2.1]octane', 'Current titles in soil science', 'Current titles in marine geology', ""‘That's just what I do’: Placing emotion in academic activism"", 'Magnetic Resonance Imaging of Intracranial Tumors: Tissue Characterization by Means of Texture Analysis', 'Toward a cellular analysis of intracranial self-stimulation: Contributions of collision studies', 'Critiquing expert systems for planning and management']",['Journal of Clinical Virology', 'Environmental Innovation and Societal Transitions', 'Computers, Environment and Urban Systems', 'Computers, Environment and Urban Systems', 'Procedia Environmental Sciences', 'Photochemistry, History and Commercial Applications of Hexaarylbiimidazoles', 'CATENA', 'Serials Review', 'Computer-Aided Design', 'Geoderma', 'Mendeleev Communications', 'The American Journal of Cardiology', 'Marine Geology', 'Marine Geology', 'Computers, Environment and Urban Systems', 'Geoderma', 'Journal of Cranio-Maxillofacial Surgery', 'Marine Geology', 'Tetrahedron', 'Geoderma', 'Marine Geology', 'Emotion, Space and Society', 'Zeitschrift für Medizinische Physik', 'Neuroscience & Biobehavioral Reviews', 'Computers, Environment and Urban Systems'],"Title-Abstr-Key(Airborne Ranger)  OR Title-Abstr-Key(Google Lunar XPRIZE)  OR Title-Abstr-Key(Sensor)  OR Title-Abstr-Key(Spatial analysis)  AND Title(""Human metapneumovirus in patients hospitalized with acute respiratory infections: A meta-analysis"")",1,['Human metapneumovirus in patients hospitalized with acute respiratory infections: A meta-analysis'],['Journal of Clinical Virology'],False,02:41:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Minkowski Portal Refinement)  OR Title-Abstr-Key(Numerical analysis)  OR Title-Abstr-Key(Quorum sensing) ,2,['10: How to use the monographs', 'Abstracts'],['Principles and Practice of Phytotherapy (Second Edition)', 'Clinical Microbiology and Infection'],"Title-Abstr-Key(Minkowski Portal Refinement)  OR Title-Abstr-Key(Numerical analysis)  OR Title-Abstr-Key(Quorum sensing)  AND Title(""10: How to use the monographs"")",1,['10: How to use the monographs'],['Principles and Practice of Phytotherapy (Second Edition)'],False,02:42:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Complex system)  OR Title-Abstr-Key(Markov chain)  OR Title-Abstr-Key(Markov model)  OR Title-Abstr-Key(Real-time computing) ,326,['State of the art and challenges of security SLA for cloud computing', 'A systematic review of game technologies for pediatric patients', 'Modeling and Rendering of Real-time Large-scale Granular Flow Scene on GPU', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'Research on Big Data – A systematic mapping study', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'A systematic literature review on electricity management systems', 'Expert systems and evolutionary computing for financial investing: A review', 'Exploring gamification to support manufacturing education on industry 4.0 as an enabler for innovation and sustainability', 'A Systematic Mapping Study of Software Reliability Modeling', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'Critiquing expert systems for planning and management', 'Land information systems (electronic pages) as a part of IVHS', 'Computer-based patient record systems', 'A systematic review of evaluation of variability management approaches in software product lines', 'Indexing biomedical documents: From thesaural to knowledge-based retrieval systems', 'A Narrative Review of Social Media and Game-Based Nutrition Interventions Targeted at Young Adults', 'Engineering periodicals: Diversity and complexity', 'Serials in strategic planning and reorganization', 'US government (depository items)', 'Consistency of spatial database query results', 'Induced L2 norm model reduction of polytopic uncertain linear systems', 'Recursive Identification of Time-varying Systems via Incremental Estimation', 'Engineering periodicals: Diversity and complexity, part 2', 'An approach to H∞ control of a class of nonlinear systems'],['Computers & Electrical Engineering', 'Computers in Biology and Medicine', 'Procedia Environmental Sciences', 'IFAC-PapersOnLine', 'Computer Standards & Interfaces', 'Computer Methods and Programs in Biomedicine', 'Renewable and Sustainable Energy Reviews', 'Expert Systems with Applications', 'Procedia Manufacturing', 'Information and Software Technology', 'Managing Trade-Offs in Adaptable Software Architectures', 'Computers, Environment and Urban Systems', 'Computers, Environment and Urban Systems', 'Seminars in Oncology Nursing', 'Information and Software Technology', 'Artificial Intelligence in Medicine', 'Journal of the Academy of Nutrition and Dietetics', 'Serials Review', 'Serials Review', 'Journal of Government Information', 'Computers, Environment and Urban Systems', 'Automatica', 'Automatica', 'Serials Review', 'Automatica'],"Title-Abstr-Key(Complex system)  OR Title-Abstr-Key(Markov chain)  OR Title-Abstr-Key(Markov model)  OR Title-Abstr-Key(Real-time computing)  AND Title(""State of the art and challenges of security SLA for cloud computing"")",1,['State of the art and challenges of security SLA for cloud computing'],['Computers & Electrical Engineering'],False,02:43:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Arthur Pollen)  OR Title-Abstr-Key(Contour line)  OR Title-Abstr-Key(Fast Fourier transform)  OR Title-Abstr-Key(Gabor filter) ,18,['Chapter 4: Reduction', 'Benzoxadiazocines, benzothiadiazocines and benzotriazocines—III : The synthesis of 2-(subst.)amino- and 2-(2-subst.hydrazino)-6-(alkylsulfonyl and arylsulfonyl)-5,6-dihydro-4H-3,1,6-benzothiadiazocines', 'The synthesis of garugamblin-1', 'Neuropathological changes during generalized seizures in newborn monkeys', 'Synthesis of heparin saccharides—V : Anomeric o-benzyl derivatives of l-idopyranosyluronic acid', '12: Review of Near-Infrared and Infrared Spectroscopy', 'C1', 'The Utilization of Sugars by Yeasts', 'A state-of-the-art report on computational stochastic mechanics', 'C', 'Waves, Pulses, and the Theory of Neural Masses', 'Section 1: Specific Chemicals: Elements and Compounds arranged in formula order', 'Subject index', '10: How to use the monographs', 'ISNI 2006 Abstracts', '5: Chemotherapy of Trypanosomiasis', 'Abstracts', 'III: CHARACTERISTIC MANIFESTATIONS OF STRESS'],"['Organic Synthesis (Third Edition)', 'Tetrahedron', 'Tetrahedron', 'Epilepsy Research', 'Tetrahedron', 'The Handbook of Organic Compounds', ""Bretherick's Handbook of Reactive Chemical Hazards (Eighth Edition)"", 'Advances in Carbohydrate Chemistry and Biochemistry', 'Probabilistic Engineering Mechanics', ""Bretherick's Handbook of Reactive Chemical Hazards (Seventh Edition)"", 'Progress in Theoretical Biology', ""Bretherick's Handbook of Reactive Chemical Hazards (Fourth Edition)"", 'Deep Sea Research Part B. Oceanographic Literature Review', 'Principles and Practice of Phytotherapy (Second Edition)', 'Journal of Neuroimmunology', 'Experimental Chemotherapy', 'Clinical Microbiology and Infection', 'Stress in Health and Disease']","Title-Abstr-Key(Arthur Pollen)  OR Title-Abstr-Key(Contour line)  OR Title-Abstr-Key(Fast Fourier transform)  OR Title-Abstr-Key(Gabor filter)  AND Title(""Chapter 4: Reduction"")",1,['Chapter 4: Reduction'],['Organic Synthesis (Third Edition)'],False,02:45:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Finite element method)  OR Title-Abstr-Key(Jacobi method) ,46,['Linear vibration analysis of laminated rectangular plates using the hierarchical finite element method—I. Free vibration analysis', 'Linear vibration analysis of laminated rectangular plates using the hierarchical finite element method—II. Forced vibration analysis', 'A new approach to dynamic condensation for FEM', 'Computational strategies for tire modeling and analysis', 'Error estimation for plate buckling elements', 'Numerical modelling of brick masonry panels subject to lateral loadings', 'Induced L2 norm model reduction of polytopic uncertain linear systems', 'On the stabilization of nonstationary parametric main resonance of a laminated angle-ply column', 'Total synthesis of polycarbocyclic sesquiterpenes: A survey of novel methods and reactions', 'An approach to H∞ control of a class of nonlinear systems', 'Current titles in marine geology', 'Analysis on transient heat transfer in annular fins of various shapes with their bases subjected to a heat flux varying as a sinusoidal time function', 'Robust stability under mixed time-varying, time-invariant and parametric uncertainty', 'Current titles in marine geology', 'Biochemistry in hungary — a review', 'Indirect field-oriented control of induction motors is robustly globally stable', 'Evaluation of crack propagation stability with the williams stress function—I. Stress field analysis', 'Current titles in marine geology part I', 'Transition metals in organic synthesis. Annual survey covering the year 1992', '2: Descending syntheses of monosaccharides', 'Biographical notes on contributors to this issue', 'Locally optimal adaptive control without persistent excitation', 'Erratum', 'Recursive Identification of Time-varying Systems via Incremental Estimation', 'Robust constrained model predictive control using linear matrix inequalities'],['Computers & Structures', 'Computers & Structures', 'Computers & Structures', 'Computers & Structures', 'Computers & Structures', 'Computers & Structures', 'Automatica', 'Computers & Structures', 'Tetrahedron', 'Automatica', 'Marine Geology', 'Computers & Structures', 'Automatica', 'Marine Geology', 'International Journal of Biochemistry', 'Automatica', 'Computers & Structures', 'Marine Geology', 'Journal of Organometallic Chemistry', 'Monosaccharide Sugars', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica'],"Title-Abstr-Key(Finite element method)  OR Title-Abstr-Key(Jacobi method)  AND Title(""Linear vibration analysis of laminated rectangular plates using the hierarchical finite element method—I. Free vibration analysis"")",1,['Linear vibration analysis of laminated rectangular plates using the hierarchical finite element method—I. Free vibration analysis'],['Computers & Structures'],False,02:46:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Pitch detection algorithm) ,31,"['Current titles in soil science', 'NASA breakthrough propulsion physics program', 'Hyper-interspersed nano/MEMS-architecture design for new concepts in miniature robotics for space exploration', 'The Aurora project: A new sail layout', 'Imaging of extrasolar advanced terrestrial planets', ""Applying international space station (ISS) and solar-sail technology to the exploration and diversion of small, dark near earth objects (NEO's)"", 'High performance nuclear thermal propulsion system for near term exploration missions to 100 A.U. and beyond', 'Roadmap to a star', 'Preface', 'The AURORA Project: Removal of plastic substrate to obtain an all-metal solar sail', 'On the strategy of space station injection in the point of Earth — Moon Libration / way of making the asteroid patrol/', 'Space missions for SETI', 'The Aurora project: Estimation of the optical sail parameters', 'The parachute sail with hydrostatic beam: A new concept for solar sailing', 'Design issues for a mission to exploit the gravitational lensing effect at 550 AU', 'AIMStar: Antimatter initiated microfusion for pre-cursor interstellar missions', 'The IAA Interstellar Space Exploration Committee (ISEC) its history & evolution', 'Italian participation to interplanetary exploration: The Cassini-Huygens mission', 'Optical thomograph of the Universe', 'Contributions from particle physics engineering developments', 'Exploring the Kuiper Belt: An extended Pluto mission', 'Revolutionary systems and technologies for missions to the outer planets', 'Radioisotope electric propulsion of sciencecraft to the outer solar system and near-interstellar space', 'The liquid annular reactor system (LARS) for deep space exploration', 'In memory of Ian L. Spain']",['Geoderma', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Carbon'],"Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Pitch detection algorithm)  AND Title(""Current titles in soil science"")",1,['Current titles in soil science'],['Geoderma'],False,02:47:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Branch predictor)  OR Title-Abstr-Key(Norm )  OR Title-Abstr-Key(Social presence theory)  OR Title-Abstr-Key(Social system) ,411,['A systematic review of game technologies for pediatric patients', 'A systematic literature review on electricity management systems', 'State of the art and challenges of security SLA for cloud computing', 'Research on Big Data – A systematic mapping study', 'Patient-Reported Mobility: A Systematic Review', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'A Narrative Review of Social Media and Game-Based Nutrition Interventions Targeted at Young Adults', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors'],['Computers in Biology and Medicine', 'Renewable and Sustainable Energy Reviews', 'Computers & Electrical Engineering', 'Computer Standards & Interfaces', 'Archives of Physical Medicine and Rehabilitation', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the Academy of Nutrition and Dietetics', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology'],"Title-Abstr-Key(Branch predictor)  OR Title-Abstr-Key(Norm )  OR Title-Abstr-Key(Social presence theory)  OR Title-Abstr-Key(Social system)  AND Title(""A systematic review of game technologies for pediatric patients"")",1,['A systematic review of game technologies for pediatric patients'],['Computers in Biology and Medicine'],False,02:48:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Display resolution)  OR Title-Abstr-Key(Human visual system model)  OR Title-Abstr-Key(Image quality)  OR Title-Abstr-Key(Workspace) ,14,['A systematic review of game technologies for pediatric patients', 'Keying performance of letter coding desk operators at Norwich sorting office : Fletcher, J.H. Post Office Telecommunications Research Department Report No 610, Apr 1977, 24 pp', '[37] Internet information on ion channels: Issues of access and organization', 'Numerical modelling of brick masonry panels subject to lateral loadings', 'Computational strategies for tire modeling and analysis', 'Error estimation for plate buckling elements', 'Computer graphics: A keyword-indexed bibliography for the years 1976,1977, and 1978', 'A new approach to dynamic condensation for FEM', 'Linear vibration analysis of laminated rectangular plates using the hierarchical finite element method—II. Forced vibration analysis', 'Analysis on transient heat transfer in annular fins of various shapes with their bases subjected to a heat flux varying as a sinusoidal time function', 'Evaluation of crack propagation stability with the williams stress function—I. Stress field analysis', 'Linear vibration analysis of laminated rectangular plates using the hierarchical finite element method—I. Free vibration analysis', 'On the stabilization of nonstationary parametric main resonance of a laminated angle-ply column', 'CALPHAD XXXIII 2004 conference proceedings'],['Computers in Biology and Medicine', 'Applied Ergonomics', 'Methods in Enzymology', 'Computers & Structures', 'Computers & Structures', 'Computers & Structures', 'Computer Graphics and Image Processing', 'Computers & Structures', 'Computers & Structures', 'Computers & Structures', 'Computers & Structures', 'Computers & Structures', 'Computers & Structures', 'Calphad'],"Title-Abstr-Key(Display resolution)  OR Title-Abstr-Key(Human visual system model)  OR Title-Abstr-Key(Image quality)  OR Title-Abstr-Key(Workspace)  AND Title(""A systematic review of game technologies for pediatric patients"")",1,['A systematic review of game technologies for pediatric patients'],['Computers in Biology and Medicine'],False,02:50:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Business architecture)  OR Title-Abstr-Key(Data mining)  OR Title-Abstr-Key(Hoc )  OR Title-Abstr-Key(Pattern language) ,373,['Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'A systematic review of code generation proposals from state machine specifications', 'Rotator cuff tears in young patients: a different disease than rotator cuff tears in elderly patients', 'Defining corporate energy policy and strategy to achieve carbon emissions reduction targets via energy management in non-energy intensive multi-site manufacturing organisations', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Prevalence of trigeminal neuralgia: A systematic review', 'Expert systems and evolutionary computing for financial investing: A review', 'Engineering periodicals: Diversity and complexity', 'An annotated bibliography of journals in nutrition', 'A systematic literature review of software visualization evaluation', 'Nursing research journals: A discussion and annotated guide', 'On the information processing paradigm in the study of human language', 'Hyper-interspersed nano/MEMS-architecture design for new concepts in miniature robotics for space exploration', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'Nursing Research Journals: An Annotated Guide, Part II', 'Chapter 2: motion graphics in film and television: an overview', 'Science Citation Index Expanded: The Effect of Journal Editorial Policies', 'Serials in strategic planning and reorganization', 'Fire science research: A review of selected journals', 'The role of personality variables in second language behavior', 'Current titles in soil science', 'Current titles in marine geology', 'The role of GIS-based spatial analysis in strategic management in local government', 'Canada', 'Free periodicals'],['Managing Trade-Offs in Adaptable Software Architectures', 'Information and Software Technology', 'Journal of Shoulder and Elbow Surgery', 'Energy', 'Computer Methods and Programs in Biomedicine', 'The Journal of the American Dental Association', 'Expert Systems with Applications', 'Serials Review', 'Serials Review', 'Journal of Systems and Software', 'Serials Review', 'Journal of Pragmatics', 'Acta Astronautica', 'IFAC-PapersOnLine', 'Serials Review', 'Motion Graphic Design (Second Edition)', 'The Journal of Academic Librarianship', 'Serials Review', 'Serials Review', 'Comprehensive Psychiatry', 'Geoderma', 'Marine Geology', 'Computers, Environment and Urban Systems', 'Journal of Government Information', 'Serials Review'],"Title-Abstr-Key(Business architecture)  OR Title-Abstr-Key(Data mining)  OR Title-Abstr-Key(Hoc )  OR Title-Abstr-Key(Pattern language)  AND Title(""Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study"")",1,['Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study'],['Managing Trade-Offs in Adaptable Software Architectures'],False,02:51:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Amplitude-shift keying)  OR Title-Abstr-Key(Bit error rate)  OR Title-Abstr-Key(Calculus of variations)  OR Title-Abstr-Key(Sensor node) ,48,"['Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Static polyhedron simplification using error measurements', 'Abstracts', 'HIRMA: Hypertextual information retrieval system managed by ARIOSTO', 'Reverse engineering of geometric models—an introduction', 'Three-dimensional object reconstruction from two-dimensional images', 'Surface reconstruction: from points to splines', 'Calendar', 'Special issue: Reverse engineering of geometric models', 'Segmentation of a wrap-around model using an active contour', 'High-level cad model acquisition from range images', 'XI National Congress of Digestive Diseases, Italian Federation of Digestive Diseases, Genoa, 12-16 March 2005', 'Optical thomograph of the Universe', 'Hyper-interspersed nano/MEMS-architecture design for new concepts in miniature robotics for space exploration', 'Chapter 7: Nanomaterials and Nanotechnology', 'NASA breakthrough propulsion physics program', 'The Aurora project: A new sail layout', 'Imaging of extrasolar advanced terrestrial planets', ""Applying international space station (ISS) and solar-sail technology to the exploration and diversion of small, dark near earth objects (NEO's)"", 'High performance nuclear thermal propulsion system for near term exploration missions to 100 A.U. and beyond', 'Roadmap to a star', 'Preface', 'The AURORA Project: Removal of plastic substrate to obtain an all-metal solar sail', 'On the strategy of space station injection in the point of Earth — Moon Libration / way of making the asteroid patrol/', 'Space missions for SETI']",['Computer Methods and Programs in Biomedicine', 'Computer-Aided Design', 'Journal of Cranio-Maxillofacial Surgery', 'Data & Knowledge Engineering', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Digestive and Liver Disease', 'Acta Astronautica', 'Acta Astronautica', 'Purification of Laboratory Chemicals (Eighth Edition)', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica', 'Acta Astronautica'],"Title-Abstr-Key(Amplitude-shift keying)  OR Title-Abstr-Key(Bit error rate)  OR Title-Abstr-Key(Calculus of variations)  OR Title-Abstr-Key(Sensor node)  AND Title(""Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review"")",1,['Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review'],['Computer Methods and Programs in Biomedicine'],False,02:52:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
